id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Elena;Rangel;Lola.Iglesias75@yahoo.com;repurpose withdrawal;2021-06-10T15:41:31;71697;45464
2;Gerardo;Ordóñez;ngela.Echevarra@gmail.com;withdrawal;2021-06-10T19:38:23;75289;21024
3;Teresa;Sauceda;Agustn.Correa@gmail.com;Sorprendente;2021-06-10T04:41:47;71090;65309
4;Cristina;Collazo;Andrs.Estrada@hotmail.com;reinvent orchestrate;2021-06-10T00:11:24;52820;82484
5;Caridad;Echevarría;Mariano14@hotmail.com;mobile Algodón;2021-06-10T18:49:18;13439;33970
6;Alfonso;Bañuelos;Nicols.Pacheco73@gmail.com;Indonesia herramientas;2021-06-10T03:35:30;64329;13556
7;Jorge Luis;Botello;Caridad72@yahoo.com;Descentralizado rich;2021-06-10T06:05:38;54588;45928
8;Homero;Verduzco;Esteban8@yahoo.com;payment Canarias;2021-06-10T20:09:02;3244;21747
9;Florencia;Sedillo;Santiago_Bustamante98@hotmail.com;Negro;2021-06-10T11:29:41;90189;81327
10;Agustín;Rael;Felipe79@gmail.com;Mesa Andalucía Checking;2021-06-10T00:09:51;32637;8639
